SITECODE,CEF.include,Marine,Longitude,Latitude,dat.CELLNO,dat.ATSEA,flt.LONG,flt.LAT,flt.CELLNO,flt.ATSEA,flt.DIST,flt.near,datxy.E,datxy.N,datxy.CELLNO,datxy.ATSEA,fltxy.E,fltxy.N,fltxy.CELLNO,fltxy.ATSEA,fltxy.DIST,fltxy.near
UK9020318,TRUE,TRUE,-5.6828,55.7864,1733728,TRUE,-5.67499999999999,55.7887466666667,1733728,TRUE,0.55471244254068,TRUE,3345586.21052333,3738305.13132545,1807926,TRUE,3345466,3738659,1807926,TRUE,373.729325510519,TRUE
UK9020319,TRUE,FALSE,-7.3327,57.064,1493878,TRUE,-7.32499999999999,57.0637466666667,1493878,TRUE,0.467992883778761,TRUE,3280322.54074314,3900333.55726058,1552387,TRUE,3280466,3900659,1552387,TRUE,355.659296262986,TRUE
UK9020323,TRUE,TRUE,-4.865,50.204,2783667,TRUE,-4.85833333333332,50.2054133333333,2783667,TRUE,0.501230421242265,TRUE,3268034.31045423,3117501.76511828,2787166,TRUE,3268466,3117659,2787166,TRUE,459.432989624506,TRUE
UK9020325,TRUE,TRUE,-1.5572,55.4961,1788820,TRUE,-1.55833333333331,55.49708,1788820,TRUE,0.130517543050843,TRUE,3593822.2948257,3657579.1469281,1935911,TRUE,3593466,3657659,1935911,TRUE,365.133559008138,TRUE
UK9020326,TRUE,FALSE,-2.9475,54.1097,2048859,TRUE,-2.94166666666665,54.1137466666667,2048859,TRUE,0.590275168620498,TRUE,3479259.32019116,3520382.36372304,2151846,TRUE,3479466,3520659,2151846,TRUE,345.317496098778,TRUE
UK9020327,TRUE,TRUE,-4.2481,52.6521,2323006,TRUE,-4.24166666666665,52.6554133333333,2323006,TRUE,0.570514415359403,TRUE,3363862.34943489,3376797.23417223,2378818,TRUE,3363466,3376659,2378818,TRUE,419.763696508782,TRUE
UK9020328,TRUE,TRUE,-5.061,53.702,2125515,TRUE,-5.05833333333332,53.7054133333333,2125515,TRUE,0.41873822848024,TRUE,3334487.46807955,3502496.88272573,2180087,TRUE,3334466,3502659,2180087,TRUE,163.532532102678,TRUE
UK9020329,TRUE,TRUE,0.7264,53.2356,2213614,TRUE,0.725000000000023,53.2387466666667,2213614,TRUE,0.362458448271823,TRUE,3703692.41132695,3387011.24950316,2363388,TRUE,3703466,3386659,2363388,TRUE,418.738344854513,TRUE
UK9020331,TRUE,TRUE,-2.485,60.142,915945,TRUE,-2.49166666666665,60.1387466666667,915945,TRUE,0.518262992618095,TRUE,3629685.10571994,4176818.47751534,1117484,TRUE,3629466,4176659,1117484,TRUE,270.998882672902,TRUE
UK9020332,TRUE,TRUE,-8.5224,58.096,1299498,TRUE,-8.52499999999999,58.09708,1299498,TRUE,0.194884719774562,TRUE,3241332.72700799,4029550.83967555,1348915,TRUE,3241466,4029659,1348915,TRUE,171.640164835531,TRUE
