SPAcode,SPAname,SMP,BDMPS,CEF.desig,CEF.function
UK9001181,North Caithness Cliffs,TRUE,TRUE,TRUE,Include in normal way
UK9003171,North Colonsay and Western Cliffs,TRUE,TRUE,TRUE,Include in normal way
UK9009031,North Norfolk Coast,TRUE,TRUE,TRUE,Include in normal way
UK9001011,North Rona and Sula Sgeir,TRUE,TRUE,TRUE,Include in normal way
UK9001051,North Uist Machair and Islands,FALSE,FALSE,FALSE,Include as marine-only SPA
UK9020327,Northern Cardigan Bay / Gogledd Bae Ceredigion,FALSE,FALSE,TRUE,Include as marine-only SPA
UK9020325,Northumberland Marine,FALSE,FALSE,TRUE,Include as marine-only SPA
UK9006131,Northumbria Coast,FALSE,TRUE,TRUE,Check SMP
UK9002081,Noss,TRUE,TRUE,TRUE,Include in normal way
UK9002311,Orkney Mainland Moors,FALSE,TRUE,FALSE,Check SMP
UK9002941,Otterswick and Graveland,FALSE,TRUE,FALSE,Check SMP
UK9008041,Ouse Washes,TRUE,FALSE,FALSE,Include but no NB apportioning
UK9020271,Outer Ards,TRUE,TRUE,TRUE,Include in normal way
UK9020309,Outer Thames Estuary,TRUE,FALSE,TRUE,Include but no NB apportioning
UK9012041,Pagham Harbour,TRUE,TRUE,TRUE,Include in normal way
UK9002051,Papa Stour,TRUE,TRUE,FALSE,Include in normal way
UK9002111,Papa Westray (North Hill and Holm),TRUE,TRUE,FALSE,Include in normal way
UK9001131,Pentland Firth Islands,TRUE,TRUE,FALSE,Include in normal way
UK9010111,Poole Harbour,TRUE,TRUE,TRUE,Include in normal way
UK9011051,Portsmouth Harbour,FALSE,FALSE,FALSE,Include as marine-only SPA
UK9002021,Ramna Stacks and Gruney,TRUE,FALSE,FALSE,Include but no NB apportioning
UK9020011,Rathlin Island,TRUE,TRUE,TRUE,Include in normal way
UK9005103,Ribble and Alt Estuaries,TRUE,TRUE,TRUE,Include in normal way
UK9002371,Rousay,TRUE,TRUE,TRUE,Include in normal way
UK9001341,Rum,TRUE,TRUE,TRUE,Include in normal way
UK9020331,Seas off Foula,FALSE,FALSE,FALSE,Include as marine-only SPA
UK9020332,Seas off St Kilda,FALSE,FALSE,FALSE,Include as marine-only SPA
UK9015022,Severn Estuary,FALSE,FALSE,FALSE,Include as marine-only SPA
UK9020021,Sheep Island,TRUE,TRUE,FALSE,Include in normal way
UK9001041,Shiant Isles,TRUE,TRUE,TRUE,Include in normal way
UK9014051,Skomer; Skokholm and the Seas off Pembrokeshire / Sgomer; Sgogwm a Moroedd Penfro,FALSE,FALSE,TRUE,Include as marine-only SPA
UK9003032,Sléibhtean agus Cladach Thiriodh (Tiree Wetlands and Coast),FALSE,FALSE,FALSE,Include as marine-only SPA
UK9020330,Solent and Dorset Coast,FALSE,FALSE,FALSE,Include as marine-only SPA
UK9011061,Solent and Southampton Water,TRUE,TRUE,TRUE,Include in normal way
UK9005012,Solway Firth,FALSE,FALSE,FALSE,Include as marine-only SPA
UK9020318,Sound of Gigha,FALSE,FALSE,FALSE,Include as marine-only SPA
UK9001082,South Uist Machair and Lochs,TRUE,TRUE,TRUE,Include in normal way
UK9004271,St Abb's Head to Fast Castle,TRUE,TRUE,TRUE,Include in normal way
UK9001031,St Kilda,TRUE,TRUE,TRUE,Include in normal way
UK9009121,Stour and Orwell Estuaries,TRUE,FALSE,TRUE,Include but no NB apportioning
UK9020111,Strangford Lough,TRUE,TRUE,TRUE,Include in normal way
UK9002181,Sule Skerry and Sule Stack,TRUE,TRUE,TRUE,Include in normal way
UK9002511,Sumburgh Head,TRUE,TRUE,TRUE,Include in normal way
UK9010141,Tamar Estuaries Complex,FALSE,FALSE,FALSE,Include as marine-only SPA
UK9006061,Teesmouth and Cleveland Coast,TRUE,TRUE,TRUE,Include in normal way
UK9012021,Thames Estuary and Marshes,FALSE,FALSE,FALSE,Include as marine-only SPA
UK9012071,Thanet Coast and Sandwich Bay,TRUE,FALSE,TRUE,Include but no NB apportioning
UK9013011,The Dee Estuary,TRUE,TRUE,TRUE,Include in normal way
UK9012011,The Swale,TRUE,FALSE,FALSE,Include but no NB apportioning
UK9008021,The Wash,TRUE,TRUE,TRUE,Include in normal way
UK9002811,Tips of Corsemaul and Tom Mor,TRUE,FALSE,FALSE,Include but no NB apportioning
UK9013031,Traeth Lafan/ Lavan Sands; Conway Bay,FALSE,FALSE,FALSE,Include as marine-only SPA
UK9003041,Treshnish Isles,TRUE,FALSE,FALSE,Include but no NB apportioning
UK9002471,Troup; Pennan and Lion's Heads,TRUE,TRUE,TRUE,Include in normal way
UK9020296,Upper Nene Valley Gravel Pits,TRUE,FALSE,FALSE,Include but no NB apportioning
UK9020319,West Coast of the Outer Hebrides,FALSE,FALSE,FALSE,Include as marine-only SPA
UK9002101,West Westray,TRUE,TRUE,TRUE,Include in normal way
UK9002221,Ythan Estuary; Sands of Forvie and Meikle Loch,TRUE,TRUE,FALSE,Include in normal way
