SITE_CODE,SITE_NAME,CEF.include,Marine.only,Altnames.sufficient,Altnames.SPApolys,Altnames.SMP,Altnames.Productivity,Altnames.BDMPS,Altnames.FR
UK9020051,Pettigoe Plateau,NA,NA,NA,NA,NA,NA,NA,NA
UK9010111,Poole Harbour,Y,NA,NA,NA,NA,NA,NA,NA
UK9011101,Porton Down,NA,NA,NA,NA,NA,NA,NA,NA
UK9011051,Portsmouth Harbour,NA,NA,NA,NA,NA,NA,NA,NA
UK9001261,Priest Island (Summer Isles),Y,NA,NA,NA,Priest Island,NA,NA,NA
UK9002021,Ramna Stacks and Gruney,Y,NA,NA,NA,NA,NA,NA,NA
UK9014062,Ramsey and St David`s Peninsula Coast,NA,NA,NA,NA,NA,NA,NA,NA
UK9004021,Rannoch Lochs,NA,NA,NA,NA,NA,NA,NA,NA
UK9020011,Rathlin Island,Y,NA,NA,NA,NA,NA,NA,NA
UK9020295,Renfrewshire Heights,NA,NA,NA,NA,NA,NA,NA,NA
UK9005103,Ribble and Alt Estuaries,Y,NA,NA,NA,NA,NA,NA,NA
UK9003057,Rinns of Islay,NA,NA,NA,NA,NA,NA,NA,NA
UK9002231,River Spey - Insh Marshes,NA,NA,NA,NA,NA,NA,NA,NA
UK9002041,Ronas Hill - North Roe and Tingon,Y,NA,NA,NA,Ronas Hill-North Roe and Tingon-INLAND,NA,"Ronas Hill, North Roe",NA
UK9002371,Rousay,Y,NA,NA,NA,NA,NA,NA,NA
UK9001341,Rum,Y,NA,NA,NA,NA,NA,NA,NA
UK9008051,Rutland Water,NA,NA,NA,NA,NA,NA,NA,NA
UK9011102,Salisbury Plain,NA,NA,NA,NA,NA,NA,NA,NA
UK9020286,Sandlings,NA,NA,NA,NA,NA,NA,NA,NA
UK9020331,Seas off Foula,Y,Y,NA,NA,NA,NA,NA,NA
UK9020332,Seas off St Kilda,Y,Y,NA,NA,NA,NA,NA,NA
UK9015022,Severn Estuary,NA,NA,NA,NA,NA,NA,NA,NA
UK9020021,Sheep Island,Y,NA,NA,NA,NA,NA,Sheep Island NI,NA
UK9001041,Shiant Isles,Y,NA,NA,The Shiant Isles,NA,NA,Shiants; Shiant Islands,The Shiant Isles
UK9014051,"Skomer, Skokholm and the Seas off Pembrokeshire / Sgomer, Sgogwm a Moroedd Penfro",Y,NA,NA,"Skomer, Skokholm and the Seas off Pembrokeshire","Skomer, Skokholm and the Seas off Pembrokeshire","Skomer, Skokholm and the Seas off Pembrokeshire; Skokholm and Skomer","Skokholm, Skomer, Mholm; Skomer and Skokholm; Skomer, Skokholm and Middleh; Skomer, Skokholm, Middleholm","Skomer, Skokholm and the seas off Pembrokeshire; Skomer, Skokholm and the Seas off Pembrokeshire;"
UK9004441,Slamannan Plateau,NA,NA,NA,NA,NA,NA,NA,NA
UK9003032,Sléibhtean agus Cladach Thiriodh (Tiree Wetlands and Coast),NA,NA,Tiree Wetlands and Coast,NA,NA,NA,NA,NA
UK9020302,Slieve Beagh - Mullaghfad - Lisnaskea,NA,NA,Slieve Beagh-Mullaghfad-Lisnaskea,NA,NA,NA,NA,NA
UK9020330,Solent and Dorset Coast,NA,NA,NA,NA,NA,NA,NA,NA
UK9011061,Solent and Southampton Water,Y,NA,NA,NA,NA,NA,NA,NA
UK9005012,Solway Firth,Y,Y,NA,NA,NA,NA,NA,NA
UK9010031,Somerset Levels and Moors,NA,NA,NA,NA,NA,NA,NA,NA
UK9020318,Sound of Gigha,Y,Y,NA,NA,NA,NA,NA,NA
UK9007022,South Pennine Moors Phase 2,NA,NA,NA,NA,NA,NA,NA,NA
UK9004401,South Tayside Goose Roosts,NA,NA,NA,NA,NA,NA,NA,NA
UK9001082,South Uist Machair and Lochs,Y,NA,NA,NA,NA,NA,NA,NA
UK9012171,South West London Waterbodies,NA,NA,NA,NA,NA,NA,NA,NA
UK9004271,St Abb's Head to Fast Castle,Y,NA,NA,NA,NA,St Abbs to Fast Castle,St Abbs Head/ Fast Castle; St Abbs to Fast Castle,NA
UK9001031,St Kilda,Y,NA,NA,NA,NA,NA,NA,NA
UK9012121,Stodmarsh,NA,NA,NA,NA,NA,NA,NA,NA
UK9009121,Stour and Orwell Estuaries,Y,NA,NA,NA,NA,NA,NA,NA
UK9020111,Strangford Lough,Y,NA,NA,NA,NA,NA,NA,NA
UK9020300,Strath Carnaig and Strath Fleet Moors,NA,NA,NA,NA,NA,NA,NA,NA
UK9002181,Sule Skerry and Sule Stack,Y,NA,NA,NA,NA,NA,NA,NA
UK9002511,Sumburgh Head,Y,NA,NA,NA,NA,NA,Sumburgh,NA
UK9002891,Switha,NA,NA,NA,NA,NA,NA,NA,NA
UK9010141,Tamar Estuaries Complex,NA,NA,NA,NA,NA,NA,NA,NA
UK9006061,Teesmouth and Cleveland Coast,Y,NA,NA,NA,NA,NA,Teesmouth and Cleveland Est,NA
UK9012141,Thames Basin Heaths,NA,NA,NA,NA,NA,NA,NA,NA
UK9012021,Thames Estuary and Marshes,NA,NA,NA,NA,NA,NA,NA,NA
UK9012071,Thanet Coast and Sandwich Bay,Y,NA,NA,NA,NA,NA,NA,NA
UK9013011,The Dee Estuary,Y,NA,NA,NA,NA,NA,NA,NA
UK9003058,The Oa,NA,NA,NA,NA,NA,NA,NA,NA
UK9012011,The Swale,NA,NA,NA,NA,NA,NA,NA,NA
UK9008021,The Wash,Y,NA,NA,NA,NA,NA,NA,NA
UK9005171,Thorne and Hatfield Moors,NA,NA,NA,NA,NA,NA,NA,NA
UK9012131,"Thursley, Hankley and Frensham Commons (Wealden Heaths Phase 1)",NA,NA,NA,NA,NA,NA,NA,NA
UK9002811,Tips of Corsemaul and Tom Mor,Y,NA,Tips of Corsemaul and Tom,NA,NA,NA,NA,NA
UK9003034,Tiree (corncrake),NA,NA,NA,NA,NA,NA,NA,NA
UK9013031,"Traeth Lafan/ Lavan Sands, Conway Bay",NA,NA,NA,NA,NA,NA,NA,NA
UK9003041,Treshnish Isles,Y,NA,NA,NA,NA,NA,NA,NA
UK9002471,"Troup, Pennan and Lion's Heads",Y,NA,NA,NA,NA,Troup. Pennan and Lions Heads,"Troup, Pennan and Lions; Troup, Pennan and Lions Heads SPS",NA
UK9020071,Upper Lough Erne,NA,NA,NA,NA,NA,NA,NA,NA
UK9020296,Upper Nene Valley Gravel Pits,NA,NA,NA,NA,NA,NA,NA,NA
UK9007051,Walmore Common,NA,NA,NA,NA,NA,NA,NA,NA
UK9012132,Wealden Heaths Phase 2,NA,NA,NA,NA,NA,NA,NA,NA
UK9020319,West Coast of the Outer Hebrides,Y,NA,NA,NA,NA,NA,NA,NA
UK9020298,West Inverness-shire Lochs,NA,NA,NA,NA,NA,NA,NA,NA
UK9002101,West Westray,Y,NA,NA,NA,NA,West Westray Cliffs,NA,NA
UK9001711,Wester Ross Lochs,NA,NA,NA,NA,NA,NA,NA,NA
UK9004251,Westwater,NA,NA,NA,NA,NA,NA,NA,NA
UK9020285,Ynys Seiriol / Puffin Island,NA,NA,NA,NA,Puffin Island,Puffin Island,Puffin Island Wales,NA
UK9002221,"Ythan Estuary, Sands of Forvie and Meikle Loch",Y,NA,NA,NA,NA,Ythan Estuary,"Ythan Estuary, Sands of Forvie; Ythan Estuary",NA
